Time,Open,High,Low,Close,Volume
2025-12-09 23:00:00,4212.52,4216.04,4209.03,4212.11,12162
2025-12-10 00:00:00,4212.25,4212.90,4207.23,4208.21,6756
2025-12-10 02:00:00,4210.07,4212.90,4207.87,4210.87,4561
2025-12-10 03:00:00,4210.85,4212.59,4207.04,4208.40,6306
2025-12-10 04:00:00,4208.29,4217.99,4206.91,4213.85,13856
2025-12-10 05:00:00,4213.81,4218.77,4211.60,4217.12,10172
2025-12-10 06:00:00,4216.99,4217.17,4203.63,4206.36,9724
2025-12-10 07:00:00,4206.34,4209.58,4205.45,4207.02,5915
2025-12-10 08:00:00,4206.84,4214.42,4201.81,4211.32,9771
2025-12-10 09:00:00,4211.25,4211.74,4203.12,4207.40,11506
2025-12-10 10:00:00,4207.62,4209.23,4203.18,4203.29,7810
2025-12-10 11:00:00,4203.28,4206.49,4197.06,4197.96,11046
2025-12-10 12:00:00,4197.55,4200.52,4192.59,4194.22,11213
2025-12-10 13:00:00,4194.25,4196.33,4187.78,4193.26,10859
2025-12-10 14:00:00,4193.32,4197.75,4192.60,4197.23,8717
2025-12-10 15:00:00,4197.26,4202.15,4195.34,4196.24,9061
2025-12-10 16:00:00,4196.30,4205.06,4193.05,4200.73,15198
2025-12-10 17:00:00,4200.79,4206.93,4191.48,4192.52,17064
2025-12-10 18:00:00,4192.53,4201.15,4188.87,4193.69,17197
2025-12-10 19:00:00,4193.74,4205.06,4193.02,4204.76,14295
2025-12-10 20:00:00,4204.71,4204.77,4196.98,4199.71,12279
2025-12-10 21:00:00,4199.78,4200.82,4192.04,4194.57,11053
2025-12-10 22:00:00,4194.62,4219.80,4182.01,4216.60,20793
2025-12-10 23:00:00,4216.33,4238.75,4211.15,4230.05,19432
2025-12-11 00:00:00,4229.67,4232.44,4221.16,4228.60,8644
2025-12-11 02:00:00,4230.16,4234.05,4223.98,4232.41,5895
2025-12-11 03:00:00,4232.38,4245.17,4231.33,4237.03,10865
2025-12-11 04:00:00,4237.20,4247.65,4232.93,4238.31,15481
2025-12-11 05:00:00,4238.26,4240.74,4220.39,4222.30,13725
2025-12-11 06:00:00,4221.78,4224.95,4209.29,4216.68,13678
2025-12-11 07:00:00,4216.68,4218.30,4208.46,4213.53,9663
2025-12-11 08:00:00,4213.58,4216.24,4206.09,4207.52,10696
2025-12-11 09:00:00,4207.69,4215.39,4204.30,4214.47,11891
2025-12-11 10:00:00,4214.50,4218.41,4210.60,4215.98,9589
2025-12-11 11:00:00,4216.06,4219.62,4212.88,4216.53,10944
2025-12-11 12:00:00,4216.58,4221.41,4210.54,4218.47,9843
2025-12-11 13:00:00,4218.67,4225.94,4211.65,4216.94,10848
2025-12-11 14:00:00,4216.96,4219.06,4209.85,4211.25,8526
2025-12-11 15:00:00,4211.27,4220.51,4208.71,4220.51,10791
2025-12-11 16:00:00,4220.79,4223.38,4205.23,4220.99,16469
2025-12-11 17:00:00,4221.07,4244.40,4218.07,4230.54,18586
2025-12-11 18:00:00,4230.10,4261.37,4226.23,4255.95,19457
2025-12-11 19:00:00,4255.96,4278.92,4250.06,4273.67,18476
2025-12-11 20:00:00,4273.81,4281.79,4272.18,4278.72,16687
2025-12-11 21:00:00,4278.71,4285.94,4266.66,4268.15,14611
2025-12-11 22:00:00,4267.85,4274.63,4263.09,4273.14,7507
2025-12-12 02:00:00,4282.10,4283.58,4272.80,4276.28,6319
2025-12-12 03:00:00,4276.22,4280.14,4268.89,4269.40,8561
2025-12-12 04:00:00,4269.43,4276.24,4264.57,4271.12,15455
2025-12-12 05:00:00,4270.94,4276.87,4269.39,4270.41,12209
2025-12-12 06:00:00,4270.40,4274.66,4268.78,4270.60,8710
2025-12-12 07:00:00,4270.59,4271.01,4266.24,4266.42,7605
2025-12-12 08:00:00,4266.44,4280.52,4266.11,4278.97,10761
2025-12-12 09:00:00,4278.93,4283.26,4276.60,4282.83,9972
2025-12-12 10:00:00,4282.76,4290.39,4281.58,4287.07,9656
2025-12-12 11:00:00,4287.00,4309.38,4286.98,4308.07,13264
2025-12-12 12:00:00,4308.00,4320.23,4306.95,4318.29,14214
2025-12-12 13:00:00,4318.36,4330.93,4314.76,4329.86,12992
2025-12-12 14:00:00,4330.11,4339.27,4326.93,4336.29,12994
2025-12-12 15:00:00,4336.35,4339.10,4324.88,4325.80,13186
2025-12-12 16:00:00,4326.27,4346.08,4321.37,4341.04,17142
2025-12-12 17:00:00,4340.92,4353.64,4331.07,4347.16,18968
2025-12-12 18:00:00,4347.12,4351.49,4283.09,4290.43,21372
2025-12-12 19:00:00,4289.81,4296.48,4257.79,4281.92,21395
2025-12-12 20:00:00,4281.95,4298.33,4271.08,4294.24,19119
2025-12-12 21:00:00,4294.26,4303.58,4290.55,4294.87,16850
2025-12-12 22:00:00,4294.92,4299.76,4289.87,4296.54,14512
2025-12-12 23:00:00,4296.34,4302.93,4288.54,4299.42,14523
2025-12-13 00:00:00,4299.51,4304.18,4297.83,4299.68,6406
2025-12-15 02:00:00,4294.86,4308.19,4294.44,4302.40,7791
2025-12-15 03:00:00,4302.44,4308.03,4300.12,4307.47,8042
2025-12-15 04:00:00,4307.57,4325.65,4305.74,4322.52,15018
2025-12-15 05:00:00,4322.31,4329.21,4320.94,4326.46,12301
2025-12-15 06:00:00,4326.34,4329.67,4319.44,4327.10,12043
2025-12-15 07:00:00,4327.01,4329.89,4322.87,4326.06,8746
2025-12-15 08:00:00,4326.20,4344.37,4324.78,4343.63,11985
2025-12-15 09:00:00,4343.58,4347.31,4339.71,4343.55,12599
2025-12-15 10:00:00,4342.92,4344.73,4333.72,4339.22,10912
2025-12-15 11:00:00,4339.01,4348.96,4338.88,4347.06,11010
2025-12-15 12:00:00,4346.91,4350.25,4342.35,4342.58,11331
2025-12-15 13:00:00,4342.76,4348.26,4337.82,4339.65,9614
2025-12-15 14:00:00,4339.62,4343.66,4335.23,4342.76,8426
2025-12-15 15:00:00,4342.75,4348.24,4342.72,4345.71,9839
2025-12-15 16:00:00,4346.00,4346.26,4330.92,4332.15,16430
2025-12-15 17:00:00,4332.20,4336.71,4317.98,4323.88,18954
2025-12-15 18:00:00,4323.67,4327.85,4311.72,4318.18,19834
2025-12-15 19:00:00,4318.27,4318.75,4285.33,4297.58,20068
2025-12-15 20:00:00,4297.54,4306.49,4290.71,4304.44,16882
2025-12-15 21:00:00,4304.37,4313.67,4300.02,4313.13,14471
2025-12-15 22:00:00,4313.14,4317.77,4307.90,4314.14,13909
2025-12-15 23:00:00,4313.80,4314.36,4299.46,4304.38,13576
2025-12-16 00:00:00,4304.46,4305.75,4300.67,4305.05,5174
2025-12-16 02:00:00,4307.88,4309.75,4303.31,4304.10,5302
2025-12-16 03:00:00,4304.25,4313.24,4302.77,4307.79,9373
2025-12-16 04:00:00,4308.05,4317.77,4299.12,4308.78,15444
